variable;lower ;median;upper;distribution;label;description
n_years;25;NA;25;const;years;The time span that is modeled
discount_rate;10;NA;10;const;discount rate;Discount rate %
Var_Cv;5;NA;10;posnorm;Variance; Variance variables in %
establishment_cost_mono;77000;NA;100000;posnorm;Rubber establishment cost;Cost of rubber establishment in Nepalese rupee/ha  (1000 euro equals ~144000 NPR)
establishment_cost_AF;81300;NA;144000;posnorm;intercropping establishment cost;Cost of pepper and rubber establishment in Nepalese rupee/ha
rubber_main_cost;451812;NA;569792;posnorm;rubber maintenance cost;Annual Cost to maintain rubber system (NPR)
pepper_main_cost;75000;NA;100000;posnorm;pepper maintenance cost;Annual Cost to maintain black pepper system (NPR)
max_pepper_yield;25;NA;38;posnorm;pepper yield;The peak yield of pepper (t/ha)
max_rubber_yield;37.5;NA;50;posnorm;Rubber yield;The peak yield of rubber (t/ha)
rubber_price;459420;NA;687000;posnorm;rubber price;Price of rubber per tonnes 
pepper_price;700000;NA;900000;posnorm;pepper price;Price of pepper per tonne
mono_nutrient;2;NA;6;posnorm;fertilizer monoculture;Nutrients recycled equivalent of NPK fertilizer bags of 5O kg (15:15:15) from litter fall in rubber monoculture (kg/ha)
AF_nutrient;4;NA;10;posnorm;fertilizer intercropping;Nutrients recycled equivalent of NPK fertilizer bags of 5O kg (15:15:15) from litter fall in Rubber-black pepper AF (kg/ha)
fertilizer_price;10812;NA;12000;posnorm;Montetary value of nutrient recycled;Monetary value of a 50 kg NPK fertilizer bag (NPR)
cost_water;1450;NA;10000;posnorm;water price;Monetary value of water saved through interception in rubber mono (NPR)
water_competition_probability;0.1;NA;0.3;tnorm_0_1;water competition probability;The probability that roots will compete (higher irrigation costs and lower yields (%)
yield_if_competition;0.3;NA;0.5;posnorm;probabilty yield if competition;Estimated yield loss in case of competition to water compared to well watered plants (%)
mean_AF_water;600;NA;2500;posnorm;mean water;Mean of water(m^3/ha)
competition_AF_water;1200;NA;3100;posnorm;water competition in intercropping;"plus 600 compared to ""usual"" need" (m^3/ha)
knowledge_gap_probability;0.2;NA;0.4;tnorm_0_1;knowledge gap;Percentual estimation of knowledge gaps to manage and yield the pepper (%)
