"","NPV_decision.variable","NPV_decision.expected_gain","NPV_decision.EVPI_do","NPV_decision.EVPI_dont","NPV_decision.EVPI","NPV_decision.decision"
"n_years","n_years",NA,0,0,0,"do"
"establishment_cost_mono","establishment_cost_mono",94827934.8538856,0,94827934.8538856,0,"do"
"establishment_cost_AF","establishment_cost_AF",95040234.7435101,0,95040234.7435101,0,"do"
"rubber_main_cost","rubber_main_cost",95893349.2245053,0,95893349.2245053,0,"do"
"var_rubber_main_cost","var_rubber_main_cost",97764577.1096596,0,97764577.1096596,0,"do"
"pepper_main_cost","pepper_main_cost",79279448.0261343,453366.052990503,79732814.0791248,453366.052990503,"do"
"var_pepper_main_cost","var_pepper_main_cost",90209234.2574402,3686101.20938699,93895335.4668272,3686101.20938699,"do"
"max_pepper_yield","max_pepper_yield",92623643.7889079,0,92623643.7889079,0,"do"
"var_pepper_yield","var_pepper_yield",92288249.7264576,2618555.84911967,94906805.5755772,2618555.84911967,"do"
"max_rubber_yield","max_rubber_yield",108385512.438478,11903242.3522007,120288754.790678,11903242.3522007,"do"
"var_rubber_yield","var_rubber_yield",102205719.79439,0,102205719.79439,0,"do"
"rubber_price","rubber_price",92368960.898681,121.583718972787,92369082.4824,121.583718972787,"do"
"pepper_price","pepper_price",91478017.8520194,2661877.15014479,94139895.0021642,2661877.15014479,"do"
"mono_nutrient","mono_nutrient",102460961.875761,0,102460961.875761,0,"do"
"var_mono_nutrient","var_mono_nutrient",97156924.4287626,0,97156924.4287626,0,"do"
"mono_nutrient_saved","mono_nutrient_saved",92466212.7074515,0,92466212.7074515,0,"do"
"AF_nutrient","AF_nutrient",98305230.2625454,0,98305230.2625454,0,"do"
"var_AF_nutrient","var_AF_nutrient",95547686.3818145,0,95547686.3818145,0,"do"
"AF_nutrient_saved","AF_nutrient_saved",84622100.4637052,0,84622100.4637052,0,"do"
"cost_water","cost_water",71750954.5268586,30936220.7831005,102687175.309959,30936220.7831005,"do"
"var_cost_water","var_cost_water",99768208.0857267,0,99768208.0857267,0,"do"
"water_competition_probability","water_competition_probability",99087469.5750901,0,99087469.5750901,0,"do"
"yield_if_competition","yield_if_competition",100490509.652675,20710.4932759428,100511220.145951,20710.4932759428,"do"
"var_yield_if_competition","var_yield_if_competition",101771895.423209,0,101771895.423209,0,"do"
"var_AF_water","var_AF_water",95578661.7718898,0,95578661.7718898,0,"do"
"mean_AF_water","mean_AF_water",101649724.309042,151068.527438423,101800792.83648,151068.527438423,"do"
"competition_AF_water","competition_AF_water",96141088.9426647,1034070.29848899,97175159.2411537,1034070.29848899,"do"
"knowledge_gap_probability","knowledge_gap_probability",97020259.2721151,0,97020259.2721151,0,"do"
"var_knowledge_gap_probability","var_knowledge_gap_probability",100146055.203614,0,100146055.203614,0,"do"
