"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_decision","y.NPV_rubber","y.NPV_AF","x.n_years","x.discount_rate","x.Var_Cv","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.pepper_main_cost","x.max_pepper_yield","x.max_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.AF_nutrient","x.fertilizer_price","x.cost_water","x.water_competition_probability","x.yield_if_competition","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability"
"1",16315177.603783,18821857.7115215,14332528.780286,23940056.1538916,23680952.3647606,24198650.1589556,22529818.4082419,28488893.8747071,25394738.6217791,28467191.1440008,32548687.7494494,30725583.3321274,26375436.6708541,28238223.3013544,32616464.7645442,30746026.3968718,32375609.9688701,32936315.4094274,28792291.1535111,28072228.0851917,30912471.1193877,37764557.5000173,32115047.1861981,31344340.5012391,32906387.1727846,81528930.8853033,163851303.064338,245380233.949641,25,10,9.31543147444698,87068.0083493313,85182.37023066,582155.106604713,93225.6994379269,29.1555664663913,42.935018862873,502323.188989676,805889.679855302,3.81504573199682,5.60447236394205,11396.0194401811,4614.90964617975,0.160973234971953,0.490665968744352,1126.00773897931,2370.46882262545,0.337213925423216
"2",21167007.9696753,24219469.797627,18525954.0898752,21049950.6846143,26490333.1022226,24009211.6131023,25867959.9648311,30732085.0155884,35712044.2869838,23826502.290727,26138639.9286261,28707042.7009128,27146168.6841012,27958784.3756325,25707492.1267207,31030551.1710687,32307051.6250232,31632029.4106604,30664068.1212083,28830797.0486211,37134830.0581121,36411010.7339558,33140856.6496151,35830525.535266,37474715.6233265,37583587.8445159,223786396.863288,261369984.707804,25,10,7.91071651579136,88719.4820704681,108166.959049285,437741.758642678,81834.1120310203,31.219078956212,42.945796972671,658522.095523465,732876.091834943,3.3689449181875,8.11806705330966,11239.9752839266,7829.88604822539,0.157629088055364,0.487099055941252,529.545342024007,1961.18873763402,0.338411467704279
"3",18351215.4403328,16868703.6550559,18504613.3983485,23025537.6494286,22417735.5884562,22397647.4274159,22600086.3641973,20920089.5392933,30380243.9355732,26345277.5497822,21882532.6435014,23253952.8759316,26221095.0169161,27642276.818434,27019227.9745753,25965587.2832482,27520055.5797206,31113862.8815103,28211241.4649915,31754686.2436973,24803696.1624958,33877496.4247009,32840387.6577906,26078601.2585993,32151371.8769153,30087362.8601487,201414969.251014,231502332.111162,25,10,8.68273785331105,95500.1892418848,108325.08366547,473169.563121889,73477.3608401595,27.5932717862016,48.6183269882047,514006.203409027,796027.681578796,6.22617378595638,10.1759035822042,11709.1612797392,8482.90235393985,0.156431912379407,0.288482984571819,1412.95594586473,1879.00307569908,0.284808056199025
"4",12560131.4493696,13354659.5826411,14164057.1250628,14293696.9135757,16340776.2912744,17307161.319413,17156830.8549174,15737842.5272882,15687603.6831678,17405029.7302658,15183326.7693795,19794749.0118197,18129171.447502,19159678.3431677,20008608.7602127,16107587.8986817,15560743.499514,16720957.7506219,17671865.9996647,19636081.1245262,17803486.6572272,19703920.0044602,17615735.1379446,21612402.8252407,17116805.9840168,42970193.3648058,116494416.078847,159464609.443653,25,10,8.20988265153508,82595.5391760134,113844.194674725,517419.595890264,94939.8151679811,29.6360353230149,38.2205092336389,656396.479983031,726551.6686147,3.20527455826072,4.97826472749913,12034.3182193386,6723.57399151178,0.217278898769831,0.449249447239682,835.874450511221,1911.77349162378,0.217645865649666
"5",27492508.5897227,29472065.1303747,28737145.7839305,32115578.0699073,32008106.078052,27290554.9548898,33386201.9850359,31341446.1338453,32509631.4361232,29882923.1536243,24524376.5569897,31807857.6499896,30317082.0659504,31952650.3099385,30602928.4707871,32787757.688182,34789313.8143914,30298497.7022524,33452572.6464533,31385629.2969303,33650601.4809006,31988765.0099047,38087289.1787317,31186209.2632871,33061314.975699,71502333.4750953,233220827.348226,304723160.823321,25,10,6.39217664198202,83613.7774856146,104826.170862626,566682.739586034,90101.0022960799,30.4425744165836,39.7072147580015,658931.139110708,691188.161499106,2.99882354077155,8.21957247730249,11562.739457739,5695.31186157907,0.321606556120903,0.430242375807656,2643.80554320151,2151.50569901399,0.163224133164696
"6",32219655.7414282,33284057.825885,33140425.9637077,41209924.8931867,35572921.0665538,42185800.5793169,33095104.3218203,40558484.7920731,30671990.888607,41499832.881441,38129407.578356,46805596.3087833,42122713.0128179,40460210.808111,42850189.665264,46606748.8528981,40569165.3825149,42444735.4753709,50969305.8009413,42453559.9313473,46263009.4903478,43931666.4424803,39633960.1187909,47874386.7291888,48152033.7148714,135665446.511705,246997340.851756,382662787.36346,25,10,8.94744425958452,84469.3694745962,87433.5102845679,505601.455301361,88878.1495429661,37.6338989616908,47.3522805814815,624245.683637643,757132.702883008,3.53695633212211,6.20550932750386,11678.0468227067,7709.39908549292,0.219409125532772,0.312975243769702,2340.37529664996,1466.89662582154,0.259154831736963
"7",18175402.2155178,28639556.3278614,20885647.7602504,23950286.3530124,23521658.8361744,27163861.843657,28165333.06606,29201127.9688216,30799709.8680484,32888427.4104735,33330205.2272158,35157740.943245,32196386.0316467,31603902.1425494,37191717.2648894,31674680.8228246,35659372.8739273,33103946.1115235,38266155.308093,37188100.9462379,37882445.0709511,35787418.8562384,38222657.4783286,36786538.2738029,39792091.0333004,116251155.471904,167893240.898398,284144396.370302,25,10,7.4933553673749,90733.9372518085,109064.876059227,490370.898299722,86822.0979191659,29.6190869625683,37.4605914095457,589222.157165058,845076.996016268,3.99421554147263,7.01505051220953,11684.1059384123,3891.72612961775,0.127860804191457,0.285378220488091,1302.53209150529,2048.16877923712,0.365895851425078
"8",12767139.698149,16013567.9484849,19222803.4574194,20226374.9005967,21608552.9596512,16622994.1804897,20503335.2585145,19642373.6710868,21541837.5039834,23489420.9046137,23495446.90843,24893756.3974375,24547788.6402021,25358425.9319293,29483619.3388263,22704797.5856498,25148956.6098843,26615502.6012775,30855968.3492773,29504623.8396271,26720326.9557986,27609040.7483673,25472918.1116977,28932483.4003554,27692484.0748552,23355220.6639955,185935059.039878,209290279.703873,25,10,4.63042349983843,78272.1876022272,140717.120681464,572913.612259637,85023.0333508199,30.7976550710763,37.8020622218106,606552.854238076,815497.587184821,3.07212819811329,7.6463715318658,12219.2830838182,8462.18649271992,0.145128344592154,0.402001335376015,1334.04774183665,2115.85306773287,0.291654088134062
"9",28939112.6052875,27432089.2523612,30013290.4498729,31471206.1798161,36191741.4705102,34845024.1158053,35378739.453615,33934962.972578,38426260.7507992,37442561.3067599,37270859.5829602,36419240.643849,33793018.0857566,39783888.64866,39637917.0952832,39343705.2376218,35755597.1162344,41328138.2217263,42761527.4811084,40208316.5826634,44336915.7647305,43793615.9326988,40764726.4888391,43782839.7705503,42086971.9494758,112714122.893202,233341842.416294,346055965.309497,25,10,5.85160638607772,90373.8252003671,122701.97366275,560701.76621084,83697.3458402125,28.4016022377755,49.4222343213305,566479.953221265,751001.632205759,1.88404026172461,7.39831213020876,11410.3750406024,3085.91292208086,0.0859623754420598,0.353315480537788,1622.26644436951,2164.59828333239,0.296683670796795
"10",10121507.3412784,10523732.1745336,12680101.5262473,12245472.4838877,15436775.7060925,18586107.7021785,20807060.5446232,19293507.3010972,18435035.7964823,18331632.8667875,26024514.9584529,18506510.1436125,23364451.940468,21575489.610409,25785242.2194822,21554863.1456955,24733628.4757361,24080538.9744614,22249522.5159852,29647597.5479687,29806170.8938789,25562957.286512,25632271.7611893,29906122.9167685,29750373.376296,21328616.6726956,156698429.697733,178027046.370428,25,10,6.44975919108524,82828.4689738251,116499.206270148,527187.789576728,86109.7022296967,28.8584031208516,48.8133020076075,404158.187023811,863175.422439749,5.63962608864659,7.13701207018061,11282.9307843749,5613.73644650023,0.100852845621867,0.355974634676204,1714.24932388559,3270.8055984538,0.291445572886351
